Inflections: 3180 forms
Lemma	Form	Analysis (UniMorph)
girtin	bi-yan-gir-in	V;PRS;SBJV;ArgNO3P;ArgAC3P
girtin	bi-ş-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ]
girtin	bi-ş-im-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ];ArgAC1S
girtin	bi-ş-it-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ];ArgAC2S
girtin	bi-ş-î-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ];ArgAC3S
girtin	bi-ş-man-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ];ArgAC1P
girtin	bi-ş-tan-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ];ArgAC2P
girtin	bi-ş-yan-gir-in	V;PRS;SBJV;ArgNO3P;[ÎŞ];ArgAC3P
girtin	ne-gir-im	V;PRS;SBJV;NEG;ArgNO1S
girtin	ne-gir-ît	V;PRS;SBJV;NEG;ArgNO2S
girtin	ne-gir-êt	V;PRS;SBJV;NEG;ArgNO3S
girtin	ne-gir-în	V;PRS;SBJV;NEG;ArgNO1P
girtin	ne-gir-in	V;PRS;SBJV;NEG;ArgNO2P
girtin	ne-gir-in	V;PRS;SBJV;NEG;ArgNO3P
girtin	ne-t-gir-im	V;PRS;SBJV;NEG;ArgNO1S;ArgAC2S
girtin	ne-y-gir-im	V;PRS;SBJV;NEG;ArgNO1S;ArgAC3S
girtin	ne-tan-gir-im	V;PRS;SBJV;NEG;ArgNO1S;ArgAC2P
girtin	ne-yan-gir-im	V;PRS;SBJV;NEG;ArgNO1S;ArgAC3P
girtin	ne-ş-gir-im	V;PRS;SBJV;NEG;ArgNO1S;[ÎŞ]
girtin	ne-ş-it-gir-im	V;PRS;SBJV;NEG;ArgNO1S;[ÎŞ];ArgAC2S
girtin	ne-ş-î-gir-im	V;PRS;SBJV;NEG;ArgNO1S;[ÎŞ];ArgAC3S
girtin	ne-ş-tan-gir-im	V;PRS;SBJV;NEG;ArgNO1S;[ÎŞ];ArgAC2P
girtin	ne-ş-yan-gir-im	V;PRS;SBJV;NEG;ArgNO1S;[ÎŞ];ArgAC3P
girtin	ne-m-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;ArgAC1S
girtin	ne-y-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;ArgAC3S
girtin	ne-man-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;ArgAC1P
girtin	ne-yan-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;ArgAC3P
girtin	ne-ş-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;[ÎŞ]
girtin	ne-ş-im-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;[ÎŞ];ArgAC1S
girtin	ne-ş-î-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;[ÎŞ];ArgAC3S
girtin	ne-ş-man-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;[ÎŞ];ArgAC1P
girtin	ne-ş-yan-gir-ît	V;PRS;SBJV;NEG;ArgNO2S;[ÎŞ];ArgAC3P
girtin	ne-m-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;ArgAC1S
girtin	ne-t-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;ArgAC2S
girtin	ne-y-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;ArgAC3S
girtin	ne-man-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;ArgAC1P
girtin	ne-tan-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;ArgAC2P
girtin	ne-yan-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;ArgAC3P
girtin	ne-ş-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ]
girtin	ne-ş-im-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ];ArgAC1S
girtin	ne-ş-it-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ];ArgAC2S
girtin	ne-ş-î-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ];ArgAC3S
girtin	ne-ş-man-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ];ArgAC1P
girtin	ne-ş-tan-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ];ArgAC2P
girtin	ne-ş-yan-gir-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ];ArgAC3P
girtin	ne-t-gir-în	V;PRS;SBJV;NEG;ArgNO1P;ArgAC2S
girtin	ne-y-gir-în	V;PRS;SBJV;NEG;ArgNO1P;ArgAC3S
girtin	ne-tan-gir-în	V;PRS;SBJV;NEG;ArgNO1P;ArgAC2P
girtin	ne-yan-gir-în	V;PRS;SBJV;NEG;ArgNO1P;ArgAC3P
girtin	ne-ş-gir-în	V;PRS;SBJV;NEG;ArgNO1P;[ÎŞ]
girtin	ne-ş-it-gir-în	V;PRS;SBJV;NEG;ArgNO1P;[ÎŞ];ArgAC2S
girtin	ne-ş-î-gir-în	V;PRS;SBJV;NEG;ArgNO1P;[ÎŞ];ArgAC3S
girtin	ne-ş-tan-gir-în	V;PRS;SBJV;NEG;ArgNO1P;[ÎŞ];ArgAC2P
girtin	ne-ş-yan-gir-în	V;PRS;SBJV;NEG;ArgNO1P;[ÎŞ];ArgAC3P
girtin	ne-m-gir-in	V;PRS;SBJV;NEG;ArgNO2P;ArgAC1S
girtin	ne-y-gir-in	V;PRS;SBJV;NEG;ArgNO2P;ArgAC3S
girtin	ne-man-gir-in	V;PRS;SBJV;NEG;ArgNO2P;ArgAC1P
girtin	ne-yan-gir-in	V;PRS;SBJV;NEG;ArgNO2P;ArgAC3P
girtin	ne-ş-gir-in	V;PRS;SBJV;NEG;ArgNO2P;[ÎŞ]
girtin	ne-ş-im-gir-in	V;PRS;SBJV;NEG;ArgNO2P;[ÎŞ];ArgAC1S
girtin	ne-ş-î-gir-in	V;PRS;SBJV;NEG;ArgNO2P;[ÎŞ];ArgAC3S
girtin	ne-ş-man-gir-in	V;PRS;SBJV;NEG;ArgNO2P;[ÎŞ];ArgAC1P
girtin	ne-ş-yan-gir-in	V;PRS;SBJV;NEG;ArgNO2P;[ÎŞ];ArgAC3P
girtin	ne-m-gir-in	V;PRS;SBJV;NEG;ArgNO3P;ArgAC1S
girtin	ne-t-gir-in	V;PRS;SBJV;NEG;ArgNO3P;ArgAC2S
girtin	ne-y-gir-in	V;PRS;SBJV;NEG;ArgNO3P;ArgAC3S
girtin	ne-man-gir-in	V;PRS;SBJV;NEG;ArgNO3P;ArgAC1P
girtin	ne-tan-gir-in	V;PRS;SBJV;NEG;ArgNO3P;ArgAC2P
girtin	ne-yan-gir-in	V;PRS;SBJV;NEG;ArgNO3P;ArgAC3P
girtin	ne-ş-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ]
girtin	ne-ş-im-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ];ArgAC1S
girtin	ne-ş-it-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ];ArgAC2S
girtin	ne-ş-î-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ];ArgAC3S
girtin	ne-ş-man-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ];ArgAC1P
girtin	ne-ş-tan-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ];ArgAC2P
girtin	ne-ş-yan-gir-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ];ArgAC3P
girtin	bi-gir-e	V;IMP;ArgNO2S
girtin	bi-gir-in	V;IMP;ArgNO2P
girtin	bi-m-gir-e	V;IMP;ArgNO2S;ArgAC1S
girtin	bi-y-gir-e	V;IMP;ArgNO2S;ArgAC3S
girtin	bi-man-gir-e	V;IMP;ArgNO2S;ArgAC1P
girtin	bi-yan-gir-e	V;IMP;ArgNO2S;ArgAC3P
girtin	bi-ş-gir-e	V;IMP;ArgNO2S;[ÎŞ]
girtin	bi-ş-im-gir-e	V;IMP;ArgNO2S;[ÎŞ];ArgAC1S
girtin	bi-ş-î-gir-e	V;IMP;ArgNO2S;[ÎŞ];ArgAC3S
girtin	bi-ş-man-gir-e	V;IMP;ArgNO2S;[ÎŞ];ArgAC1P
girtin	bi-ş-yan-gir-e	V;IMP;ArgNO2S;[ÎŞ];ArgAC3P
girtin	bi-m-gir-in	V;IMP;ArgNO2P;ArgAC1S
girtin	bi-y-gir-in	V;IMP;ArgNO2P;ArgAC3S
girtin	bi-man-gir-in	V;IMP;ArgNO2P;ArgAC1P
girtin	bi-yan-gir-in	V;IMP;ArgNO2P;ArgAC3P
girtin	bi-ş-gir-in	V;IMP;ArgNO2P;[ÎŞ]
girtin	bi-ş-im-gir-in	V;IMP;ArgNO2P;[ÎŞ];ArgAC1S
girtin	bi-ş-î-gir-in	V;IMP;ArgNO2P;[ÎŞ];ArgAC3S
girtin	bi-ş-man-gir-in	V;IMP;ArgNO2P;[ÎŞ];ArgAC1P
girtin	bi-ş-yan-gir-in	V;IMP;ArgNO2P;[ÎŞ];ArgAC3P
girtin	me-gir-e	V;IMP;NEG;ArgNO2S
girtin	me-gir-in	V;IMP;NEG;ArgNO2P
girtin	me-m-gir-e	V;IMP;NEG;ArgNO2S;ArgAC1S
girtin	me-y-gir-e	V;IMP;NEG;ArgNO2S;ArgAC3S
girtin	me-man-gir-e	V;IMP;NEG;ArgNO2S;ArgAC1P
girtin	me-yan-gir-e	V;IMP;NEG;ArgNO2S;ArgAC3P
girtin	me-ş-gir-e	V;IMP;NEG;ArgNO2S;[ÎŞ]
girtin	me-ş-im-gir-e	V;IMP;NEG;ArgNO2S;[ÎŞ];ArgAC1S
girtin	me-ş-î-gir-e	V;IMP;NEG;ArgNO2S;[ÎŞ];ArgAC3S
girtin	me-ş-man-gir-e	V;IMP;NEG;ArgNO2S;[ÎŞ];ArgAC1P
girtin	me-ş-yan-gir-e	V;IMP;NEG;ArgNO2S;[ÎŞ];ArgAC3P
girtin	me-m-gir-in	V;IMP;NEG;ArgNO2P;ArgAC1S
girtin	me-y-gir-in	V;IMP;NEG;ArgNO2P;ArgAC3S
